B1 h	NA
Sepw1	GO:0008430~selenium binding
Sub1	GO:0003712~transcription cofactor activity
Sub1	GO:0008134~transcription factor binding
Sub1	GO:0016563~transcription activator activity
Sub1	GO:0003677~DNA binding
Sub1	GO:0030528~transcription regulator activity
Sub1	GO:0003713~transcription coactivator activity
Gpx4	GO:0004601~peroxidase activity
Gpx4	GO:0003729~mRNA binding
Gpx4	GO:0042277~peptide binding
Gpx4	GO:0000166~nucleotide binding
Gpx4	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor
Gpx4	GO:0008430~selenium binding
Gpx4	GO:0004602~glutathione peroxidase activity
Gpx4	GO:0016209~antioxidant activity
Gpx4	GO:0047066~phospholipid-hydroperoxide glutathione peroxidase activity
Gpx4	GO:0043295~glutathione binding
Gpx4	GO:0003723~RNA binding
RP23-393F10.2	NA
Gm20538,Ndufb8,Sec31b	NA
Ndufb5	NA
Atp6v1g2	GO:0043492~ATPase activity, coupled to movement of substances
Atp6v1g2	GO:0022890~inorganic cation transmembrane transporter activity
Atp6v1g2	GO:0015077~monovalent inorganic cation transmembrane transporter activity
Atp6v1g2	GO:0015399~primary active transmembrane transporter activity
Atp6v1g2	GO:0016887~ATPase activity
Atp6v1g2	GO:0042626~ATPase activity, coupled to transmembrane movement of substances
Atp6v1g2	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity
Atp6v1g2	GO:0042625~ATPase activity, coupled to transmembrane movement of ions
Atp6v1g2	GO:0015078~hydrogen ion transmembrane transporter activity
Atp6v1g2	GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
Atp6v1g2	GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism
Atp6v1g2	GO:0042623~ATPase activity, coupled
Atp6v1g2	GO:0015662~ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
Mpc1	NA
Fam109b,Smdt1	NA
Snrpn	GO:0003723~RNA binding
Timm17a	GO:0015450~P-P-bond-hydrolysis-driven protein transmembrane transporter activity
Timm17a	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity
Timm17a	GO:0008565~protein transporter activity
Timm17a	GO:0008320~protein transmembrane transporter activity
Timm17a	GO:0015399~primary active transmembrane transporter activity
Timm17a	GO:0022884~macromolecule transmembrane transporter activity
Lsm4	GO:0003723~RNA binding
Iscu	GO:0051540~metal cluster binding
Iscu	GO:0051536~iron-sulfur cluster binding
Iscu	GO:0043169~cation binding
Iscu	GO:0043167~ion binding
Iscu	GO:0046872~metal ion binding
Iscu	GO:0046914~transition metal ion binding
Iscu	GO:0005506~iron ion binding
Ccdc85b	NA
Ccdc124	NA
Ndufa13	GO:0001882~nucleoside binding
Ndufa13	GO:0000166~nucleotide binding
Ndufa13	GO:0016655~oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor
Ndufa13	GO:0050136~NADH dehydrogenase (quinone) activity
Ndufa13	GO:0030554~adenyl nucleotide binding
Ndufa13	GO:0032553~ribonucleotide binding
Ndufa13	GO:0005524~ATP binding
Ndufa13	GO:0003954~NADH dehydrogenase activity
Ndufa13	GO:0032555~purine ribonucleotide binding
Ndufa13	GO:0017076~purine nucleotide binding
Ndufa13	GO:0001883~purine nucleoside binding
Ndufa13	GO:0032559~adenyl ribonucleotide binding
